"SUPER RETAIL GROUP LIMITED","SUL",
"SUNCORP GROUP LIMITED","SUN",
"SOLVAR LIMITED","SVR",
"SEVEN GROUP HOLDINGS LIMITED","SVW",
"SPDR MSCI AUSTRALIA SELECT HIGH DIVIDEND YIELD FUND","SYI",
"TRANSURBAN GROUP","TCL",
"THE LOTTERY CORPORATION LIMITED","TLC",
"TELSTRA GROUP LIMITED","TLS",
"TELIX PHARMACEUTICALS LIMITED","TLX",
"TECHNOLOGY ONE LIMITED","TNE",
"TPG TELECOM LIMITED.","TPG",
"TEMPLE & WEBSTER GROUP LTD","TPW",
"TRAJAN GROUP HOLDINGS LIMITED","TRJ",
"TREASURY WINE ESTATES LIMITED","TWE",
"TYRO PAYMENTS LIMITED","TYR",
"UNIVERSAL STORE HOLDINGS LIMITED","UNI",
"BETASHARES GLOBAL URANIUM ETF","URNM",
"UNIBAIL-RODAMCO-WESTFIELD","URW",
"GLOBAL X US TREASURY BOND ETF (CURRENCY HEDGED).","USTB",
"VANGUARD AUSTRALIAN PROPERTY SECURITIES INDEX ETF","VAP",
"VANGUARD AUSTRALIAN SHARES INDEX ETF","VAS",
"VICINITY CENTRES","VCX",
"VANGUARD DIVERSIFIED HIGH GROWTH INDEX ETF","VDHG",
"VIVA ENERGY GROUP LIMITED","VEA",
"VANGUARD ETHICALLY CONSCIOUS INTERNATIONAL SHARES INDEX ETF","VESG",
"VANGUARD MSCI INDEX INTERNATIONAL SHARES ETF","VGS",
"VANGUARD AUSTRALIAN SHARES HIGH YIELD ETF","VHY",
"VENTIA SERVICES GROUP LIMITED","VNT",
"VULCAN STEEL LIMITED","VSL",
"VANGUARD MSCI AUSTRALIAN SMALL COMPANIES INDEX ETF","VSO",
"VIRGIN MONEY UK PLC","VUK",
"VULCAN ENERGY RESOURCES LIMITED","VUL",
"VANGUARD GLOBAL VALUE EQUITY ACTIVE ETF (MANAGED FUND)","VVLU",
"WAM CAPITAL LIMITED","WAM",
"WESTPAC BANKING CORPORATION","WBC",
"WEEBIT NANO LTD","WBT",
"WOODSIDE ENERGY GROUP LTD","WDS",
"WEBJET LIMITED","WEB",
"WESFARMERS LIMITED","WES",
"WESTGOLD RESOURCES LIMITED.","WGX",
"WHITEHAVEN COAL LIMITED","WHC",
"GLOBAL X COPPER MINERS ETF","WIRE",
"WORLEY LIMITED","WOR",
"WOTSO PROPERTY","WOT",
"WOOLWORTHS GROUP LIMITED","WOW",
"WAYPOINT REIT","WPR",
"WISETECH GLOBAL LIMITED","WTC",
"ACTIVEX ARDEA REAL OUTCOME BOND FUND (MANAGED FUND)","XARO",
"BETASHARES ENERGY TRANSITION METALS ETF","XMET",
"XERO LIMITED","XRO",
